policy,episode,seed,success,landing_error_xy_m,landing_x_m,landing_y_m,has_fallen,torso_tilt_deg,reward_sum
ppo_best,43,2069,True,0.007252262507866905,0.5474436861914435,-0.006786793881885238,False,3.1501054303557594,67.8528801095116
ppo_best,44,2070,True,0.006908809792591982,0.5476259265822144,-0.006488098963269486,False,3.1487604524094195,68.02424122535642
ppo_best,45,2071,True,0.00536056777073545,0.5483930001548373,-0.005114023691995811,False,3.141053206983335,68.79919583716288
ppo_best,46,2072,True,0.007273791854203071,0.5474644235783463,-0.006817543556753033,False,3.1507452319102147,67.84209401277577
ppo_best,47,2073,True,0.006004224651469856,0.5482603369248364,-0.005746676087115981,False,3.134552857672619,68.47742794066973
ppo_best,48,2074,True,0.0074056554506418395,0.5473464854722269,-0.006913941951196717,False,3.1527928331119712,67.77594565798441
ppo_best,49,2075,True,0.006560930962983541,0.5479415995096708,-0.006229671140794552,False,3.1413609205350888,68.19881355122695
ppo_best,50,2076,True,0.00728714707135305,0.5474015205214191,-0.006808114044206594,False,3.1508973634138453,67.83521491937603
ppo_best,51,2077,True,0.006031517774241028,0.5482756326712067,-0.00577977196577647,False,3.134976517125999,68.46392204844872
ppo_best,52,2078,True,0.006428699041548216,0.547922095928805,-0.006083624416227069,False,3.139787819671473,68.26485893200346
ppo_best,53,2079,True,0.006624868874165439,0.5478380610947889,-0.00626218075194422,False,3.1436951049938373,68.1667597515379
ppo_best,54,2080,True,0.0077507990094643296,0.5471944907437307,-0.007225233774633204,False,3.1452390139861928,67.60337158012437
ppo_best,55,2081,True,0.006936843506803468,0.5476807742745576,-0.006537659357317998,False,3.147399038636298,68.01020191676398
ppo_best,56,2082,True,0.007186088055745642,0.5476317081556669,-0.006784619022833568,False,3.149914340593064,67.88601315639367
ppo_best,57,2083,True,0.005915632423071872,0.5482831461917368,-0.005661017573365336,False,3.1323033436773406,68.52189003416808
ppo_best,58,2084,True,0.0062026952409405065,0.5481639429432256,-0.005924721321400244,False,3.137724981587208,68.37796808144223
ppo_best,59,2085,True,0.006754563092147609,0.5478588487510815,-0.006406215255129752,False,3.144739889639213,68.10186009167803
ppo_best,60,2086,True,0.00817955952366628,0.5469703710942648,-0.00759779854265256,False,3.149597674554565,67.38867309192214
ppo_best,61,2087,True,0.007207390420509842,0.5475899240960929,-0.006792496655211765,False,3.1503634357169084,67.8753905209914
ppo_best,62,2088,True,0.007046824756640207,0.5475900969353656,-0.006621941284084528,False,3.148238357857553,67.95569976815405
ppo_best,63,2089,True,0.008174507850982534,0.5470305045693787,-0.007616080060851137,False,3.150513298314792,67.39129499450505
ppo_best,64,2090,True,0.0067507533588032215,0.5478694425202708,-0.006405731475558649,False,3.1434875373961746,68.10379954636186
ppo_best,65,2091,True,0.007515332383607676,0.547334891006479,-0.007026906494948942,False,3.154064571417282,67.72111400070102
ppo_best,66,2092,True,0.0063526479226415,0.5479861985964107,-0.0060250095050500205,False,3.139530248257874,68.30311274742401
ppo_best,67,2093,True,0.005153768753930615,0.5485407506083692,-0.004942865927983118,False,3.1403406953223056,68.90262137481702
ppo_best,68,2094,True,0.007686633930705997,0.5472619446309579,-0.007182436493331507,False,3.1602585876500973,67.63498898729962
ppo_best,69,2095,True,0.005923389239685891,0.5482570295268417,-0.00566114776476687,False,3.1317400085341047,68.5179612943074
ppo_best,70,2096,True,0.007355284813365944,0.5473946726055124,-0.006878407072372509,False,3.154434485204117,67.8011437201286
ppo_best,71,2097,True,0.007756921495280528,0.5471675624955052,-0.007221296896477556,False,3.1583920821269236,67.60032235767676
ppo_best,72,2098,True,0.006879469050059502,0.5476197677821015,-0.006454578917296194,False,3.147315935365132,68.03913700364194
ppo_best,73,2099,True,0.006705341851461151,0.5478452010203351,-0.006349681149647692,False,3.145351790026634,68.12654655027686
ppo_best,74,2100,True,0.00739942431442184,0.5474613883480292,-0.006950318774368176,False,3.140814197533824,67.77935383083133
ppo_best,75,2101,True,0.00790969387415834,0.5471181309451838,-0.0073660089555871765,False,3.1451937496709843,67.52390670415953
ppo_best,76,2102,True,0.007229242240208461,0.5475164481999922,-0.006789249871988231,False,3.152227095178535,67.86387971306162
ppo_best,77,2103,True,0.005834808586602732,0.5483664167360284,-0.005601463823141646,False,3.13222426107797,68.56216845235103
ppo_best,78,2104,True,0.006201660300868253,0.5480926690684844,-0.005901074411075414,False,3.1357703954213743,68.37861053181126
ppo_best,79,2105,True,0.005525570405379514,0.5484901622652942,-0.005315290991061952,False,3.1410948363807134,68.71695098377549
ppo_best,80,2106,True,0.006757640941253564,0.5478012382448145,-0.006389926277731211,False,3.1440797160198826,68.10027311418551
ppo_best,81,2107,True,0.006593535698524991,0.5478099280231185,-0.006219187868508347,False,3.1436569637115763,68.18197241929877
ppo_best,82,2108,True,0.006682408716539015,0.5477420054037756,-0.006289359797173144,False,3.1436882971247146,68.13806578088307
ppo_best,83,2109,True,0.007473175839590913,0.547368765222721,-0.006994637994655825,False,3.1543521127935406,67.74221217673164
ppo_best,84,2110,True,0.007063928925916518,0.5476210020765835,-0.006651275122168665,False,3.1485618314756545,67.9470428067964
ppo_best,85,2111,True,0.006536680175723198,0.5479188369901324,-0.006196527111701478,False,3.1411718064113687,68.21099316960867
ppo_best,86,2112,True,0.007777537837410981,0.5472216483738983,-0.0072643552400813455,False,3.1473409031579087,67.59003854160797
ppo_best,87,2113,True,0.006833979712205977,0.5477127715196369,-0.006439865261436666,False,3.1457652751859544,68.06207256311016
ppo_best,88,2114,True,0.006285063715433877,0.5480464490606072,-0.00597374795536778,False,3.1377851241022134,68.33672310905087
ppo_best,89,2115,True,0.007029470552636065,0.5475996533578804,-0.00660695029859031,False,3.1480385039554486,67.96436447707129
ppo_best,90,2116,True,0.005893913966029284,0.5482165721625798,-0.00561761577430048,False,3.1327905760059527,68.53248913784326
ppo_best,91,2117,True,0.007484243318562552,0.5474474505392983,-0.007035509171489977,False,3.1408682078569905,67.73661791237289
ppo_best,92,2118,True,0.007310899298063331,0.5474626065606224,-0.006856448284660666,False,3.1516104235998017,67.82335024738964
ppo_best,93,2119,True,0.008105732508593921,0.5470601190535522,-0.007553806955541649,False,3.1503308664023333,67.42566823160213
ppo_best,94,2120,True,0.007192138731489551,0.5473936332509342,-0.0067032612885338004,False,3.153999581168822,67.88251162155416
ppo_best,95,2121,True,0.007207489277802214,0.5475918723978984,-0.006793292511119342,False,3.150408245062534,67.87533104581472
ppo_best,96,2122,True,0.0067150422769262415,0.547835171016702,-0.006356516990772497,False,3.143113905316847,68.12179943218196
ppo_best,97,2123,True,0.0070163248918161565,0.5475534183479099,-0.006575945042894978,False,3.1503493501701945,67.97082413661062
ppo_best,98,2124,True,0.006747653476016509,0.5477769874588381,-0.006370953042852715,False,3.1447921605846054,68.10489553011209
ppo_best,99,2125,True,0.006758159177705234,0.5477522742182892,-0.006373417002004017,False,3.144216222098399,68.09988231735855
ppo_final,0,2026,False,0.14698941140141375,0.551604494674472,-0.14698065403641955,False,3.2372981088488912,-12.535702965932824
ppo_final,1,2027,False,0.20350621851807543,0.7252237282118446,-0.10349601947451079,False,3.388235862238417,-41.08153810036208
ppo_final,2,2028,False,0.15905290231607566,0.637062797891432,0.13310858333887704,False,3.2592440827366187,-18.35591996179938
ppo_final,3,2029,False,0.3299614366304978,0.7825419044315699,0.23409146149870708,False,3.3262797225000913,-64.42122264930016
ppo_final,4,2030,False,0.23453452146575596,0.7523874218388193,0.11851486506175905,False,3.362562204935848,-56.600081802945525
ppo_final,5,2031,False,0.3305331301449279,0.7726697371620748,0.24427512823776473,False,3.3642828157820213,-64.42782701182031
ppo_final,6,2032,True,0.08337324000860917,0.5961481422097531,0.06943663384785842,False,3.2840342864361864,29.635872988575322
ppo_final,7,2033,False,0.18049614199090344,0.717280706858926,0.06779397013288475,False,3.2812524293096055,-29.27973172958991
ppo_final,8,2034,False,0.3675953172656043,0.8002626707446682,0.26924879369710486,False,3.2867585424887933,-64.42917339654501
ppo_final,9,2035,False,0.16303280210604487,0.6105043363630329,0.15138995952115772,False,3.28030742114839,-20.564496771746278
ppo_final,10,2036,False,0.2850504429519578,0.7420872632400511,0.21060920760511553,False,3.3455066214943976,-64.34515649340713
