#{"t_start": 1784798019.2291753, "env_id": "None"}
r,l,t,success,landing_error_xy,has_fallen,task2_base_reward,task2_residual_l2
-64.5666,56,9.575306,False,0.35904338020330334,False,3.606544597530725,1.921232181597671
-64.47607,51,9.579824,False,0.32398523828351056,False,3.660262601511368,1.9351983846137015
-45.543957,55,9.589817,False,0.21240993254786547,False,3.8725360183313557,1.7052356995250326
1.6361922,55,9.596817,False,0.11889559180312176,False,11.104021835326646,2.2799517353313203
-64.44636,56,9.596817,False,0.3228911354868193,False,3.661331972171389,1.628149697176044
-64.38965,52,9.64682,False,0.3289073204601562,False,3.6536745871307126,2.09193784345822
-64.457664,60,9.807863,False,0.317907721124975,False,3.6695807501587736,1.551852414726124
-64.36939,56,9.843865,False,0.3054414307135797,False,3.6915678969873293,1.7641609521752846
-64.64878,51,9.854868,False,0.4070739890083854,False,0.5372739379762018,1.4941424514388058
-64.78737,55,9.870878,False,0.6721601284713492,False,0.2755099868821321,1.9891332572190326
-63.035637,52,9.876871,False,0.24720226404745724,False,3.8037985561718037,1.207988497379089
49.861954,54,9.882384,True,0.04260512502123905,False,11.331183547994028,1.9693760772396078
-64.772255,54,9.888381,False,0.6042404437354059,False,0.3247598302472258,2.013866342703268
-64.48129,54,9.938382,False,0.35564934146493504,False,3.6103818295090258,1.6450366870190938
-64.54742,54,10.092,False,0.39107157120749686,False,3.5567802956615577,1.6645335164627493
-29.970737,56,10.131,False,0.1818129995697513,False,10.945496893513354,1.8802927472964448
33.94699,55,10.136005,True,0.07444515541421558,False,11.236178797221369,1.9662664340843625
-58.14368,54,10.145005,False,0.2376173068513297,False,3.8205317679503157,1.5282181735207743
-64.741234,52,10.145005,False,0.5415361381735463,False,0.3811156212358128,1.8102942159515503
-63.248135,56,10.15901,False,0.24780647489784893,False,3.8013275739572614,1.554365829223146
-40.845932,56,10.169027,False,0.20300426668102006,False,3.89313850149201,1.841966671314519
-64.78144,56,10.215525,False,0.7293421110342561,False,0.23825863494458643,1.2962678389757136
-64.758446,59,10.377061,False,0.4781318474182642,False,0.4474319167573845,2.289157902083813
-53.086636,56,10.402583,False,0.22748579429295065,False,3.839325100676892,1.829908229254997
43.40433,55,10.410581,True,0.055373907638286306,False,11.299026996674574,1.693345446467095
-64.729,51,10.416576,False,0.4050125936032828,False,0.538072390909437,1.8666524345698587
-56.409798,58,10.417578,False,0.23406583921032925,False,3.8245660137328863,2.297271064145397
-64.80353,58,10.441573,False,0.7801644949440255,False,0.20802847431303031,2.2351792557212264
-64.425514,52,10.468582,False,0.2774689695234516,False,3.7423503874890867,1.9147178217975858
-64.86861,67,10.472584,False,0.9346496552585859,False,0.13694725774563143,2.0010461411958294
-6.4087253,55,10.655388,False,0.13471623129831448,False,11.066829167183986,1.6994124671053326
-49.3077,52,10.664401,False,0.21977384847942324,False,3.8683954599430748,1.712578218432308
-64.77146,50,10.670398,False,0.5695962152650275,False,0.3549150373127911,2.2206525765855156
-64.466934,52,10.674407,False,0.32469808326878924,False,3.6607114878410623,1.9568960845135164
-64.5671,55,10.692469,False,0.39204090145594256,False,3.5565489333953257,2.030159642911988
-64.47284,51,10.922503,False,0.2797030600270726,False,3.743564105374856,2.405234003258434
-4.7385554,55,10.968518,False,0.13167326596577797,False,11.072979738381719,2.2354384638072693
-21.270922,58,10.989589,False,0.16480174334987724,False,10.9868111843845,1.6441678072928854
-64.73021,49,11.130104,False,0.44355271897909765,False,0.4900148433190937,1.9924003289736694
-64.76359,53,11.135105,False,0.4247725183190725,False,0.5112425057398059,2.143153948558738
-16.102818,52,11.141104,False,0.15406450291558793,False,11.018698675733162,2.169066815048402
-64.48468,52,11.173113,False,0.31573673587449835,False,3.674266149911763,1.9886256208320288
-64.79055,58,11.177115,False,0.4361567517137792,False,0.4948395588598288,1.6839352362049809
-64.75146,59,11.19962,False,0.500848246870075,False,0.423024533641685,2.1675432795030094
-64.52698,50,11.207617,False,0.37491408877229165,False,3.583161136486891,1.6468629030715185
-64.75031,55,11.252616,False,0.6773544547218464,False,0.27142278157953487,1.8913241514693355
-64.75082,52,11.372164,False,0.6233770364109199,False,0.3114826314196191,1.8576041143570847
-36.373528,55,11.393681,False,0.19476098055730467,False,10.91552711656243,1.8470179514247318
-64.82272,57,11.398671,False,0.7185033062626469,False,0.24346804490954607,1.433579905979948
-55.52583,54,11.429676,False,0.23241879468602136,False,3.8327098500518333,1.7838855984633648
-64.41593,56,11.43567,False,0.30494567488583796,False,3.689548837872608,1.7841129661957527
-64.78654,53,11.447676,False,0.5883256973806342,False,0.3365745489683651,1.817896259987906
-64.573044,55,11.462676,False,0.36325492988401703,False,3.5987680501413344,2.3536872402091134
-60.604954,58,11.519195,False,0.2425161880086917,False,3.812253771480413,1.471780876505164
-64.74329,49,11.611711,False,0.46834748559363143,False,0.458208704812756,1.9886800400139124
-22.690365,53,11.658717,False,0.16730347272846396,False,10.982239813515875,1.7961190593525522
-46.706768,54,11.658717,False,0.2145478282403565,False,3.8795766976078054,1.6883469368244532
36.130222,54,11.687223,True,0.06994965612732414,False,11.261673623731877,1.568510267548706
-7.4365363,55,11.694224,False,0.13721747469168208,False,11.056486631854439,2.2315586086233914
-39.234024,52,11.70823,False,0.19982842393420278,False,3.9069250725729963,1.7388093737590613
-12.051273,57,11.719227,False,0.14625712175386227,False,11.03480829905714,2.2304530712158943
41.002804,56,11.791768,True,0.06036849811186254,False,11.277166649750788,1.899876633240979
-64.74332,52,11.858771,False,0.40581988532827246,False,0.5347422130711486,1.691609612422127
0.7192403,53,11.909282,False,0.12072495852124757,False,11.108845196329622,1.5516697502412702
-64.2264,57,11.928289,False,0.24994329605015306,False,3.797661374827868,1.8475828062150406
-64.747284,54,11.961286,False,0.4790638851360531,False,0.4477241792050248,2.140174881346436
38.88547,57,11.968287,True,0.06480835066801308,False,11.267492951898094,1.8388726627933945
25.309486,53,11.974284,True,0.09158287841509322,False,11.18566617887037,2.4617229132093836
-44.622444,57,12.0088,False,0.2105495038807585,False,3.8786835486104723,1.8145709646291426
-64.46825,50,12.045805,False,0.33653359060598637,False,3.6381552688770706,1.5612755103053229
-54.155407,52,12.131349,False,0.22965269692134693,False,3.838646523780195,1.4704614558686562
-49.96729,53,12.428529,False,0.22114675054369082,False,3.8671725378512694,1.6943364504325056
42.67535,54,12.455536,True,0.05700499308520571,False,11.278569976628255,2.0191719119461093
-64.713905,51,12.478529,False,0.41708124721445244,False,0.5212389217607195,1.8606588997226994
-64.75853,54,12.502043,False,0.6589206358654881,False,0.2829547921283545,1.814658029748687
-64.45967,58,12.514039,False,0.32888202128051713,False,3.6510498833116127,2.0413781584562196
-27.955751,54,12.532039,False,0.17777997983329888,False,10.956374956492139,1.8207368194770572
-64.74849,59,12.593552,False,0.4441203744576739,False,0.4867355026735869,1.6816280197155298
-64.75566,51,12.632552,False,0.4706315697494421,False,0.4552880026231701,1.423667066049693
-64.76567,52,12.698078,False,0.4422554907000679,False,0.4930724315930432,1.7341936954615018
-64.53989,61,12.773082,False,0.37975352857483774,False,3.571279367127547,1.8205353009211653
-10.702383,56,12.789589,False,0.1437785929406163,False,11.040444070089034,1.3421997284594236
-64.76829,60,12.789589,False,0.42225751135862527,False,0.5140960426286355,1.7653004654325495
-64.72795,54,12.789589,False,0.4391049751091965,False,0.4925650977529186,1.4313013898236986
-21.600395,56,12.821586,False,0.1650838433357554,False,10.985606826533004,1.9932263751127208
-53.254913,55,12.872603,False,0.22796578034302123,False,3.842812144727471,1.790995241852378
-64.491104,55,12.909103,False,0.33154856025135976,False,3.648357969190599,2.018261548862199
-64.4245,55,12.976123,False,0.3442018767374843,False,3.625518172799735,1.6231769055882292
-64.42901,51,13.046215,False,0.2653007259057351,False,3.7625556921616914,1.8411569722147918
49.56736,54,13.046215,True,0.043156373324161355,False,11.327747295744132,1.9717502861141776
-8.998492,55,13.063215,False,0.13995490149981238,False,11.04225384235603,1.898367243901695
-58.544697,57,13.071216,False,0.23832580837072753,False,3.820564775484033,1.5523406351023028
-64.472404,53,13.079222,False,0.3645600466191456,False,3.5969732709251456,1.780102514004868
-26.8654,56,13.143742,False,0.1755829736932263,False,10.958806799766316,1.9087507315621954
-64.342606,53,13.163736,False,0.2503924458630855,False,3.7947064552406315,1.7500186742264048
-64.39469,52,13.213251,False,0.31851760398119117,False,3.6707686087651723,1.3704307030815503
-64.72893,53,13.273262,False,0.4742504689861045,False,0.4500071827623462,2.364973910467951
-64.447876,57,13.306318,False,0.3093255875469347,False,3.6846017021586337,1.8055615556800793
-64.812805,62,13.311317,False,0.7156673256991711,False,0.24620241358188794,1.5605366898148956
-64.76307,56,13.324319,False,0.4876586513017299,False,0.4379123402817358,1.8141472328861132
-64.80684,62,13.343318,False,0.6338707860840633,False,0.29967101799109513,1.8639170960439482
-63.394806,50,13.360321,False,0.2479856218590969,False,3.8049449995026974,1.5744056906500508
-27.224075,54,13.408834,False,0.17631267507553455,False,10.96171851774424,1.1462769649542255
-64.52116,55,13.473834,False,0.3608470890913533,False,3.602619911755679,1.6350419831955607
-64.49047,51,13.522343,False,0.36358297615817453,False,3.6001638079322844,1.8225502421601572
-64.71732,51,13.575352,False,0.4128259172430467,False,0.5271827326074113,1.807032188906341
26.860264,54,13.580351,True,0.08848255007443073,False,11.199701762836064,1.4156512444156708
-64.38108,58,13.59852,False,0.25997139040030226,False,3.7749363776678706,2.2712930965848517
-64.49271,56,13.625523,False,0.34057692159606884,False,3.635304652563827,2.244037714504561
-64.5683,56,13.644521,False,0.37954531039231165,False,3.573753110087829,1.8587931934933017
-64.79318,56,13.912097,False,0.7707811247301704,False,0.21380435635985812,1.6629754528825227
-64.56061,60,13.993618,False,0.40430694100238557,False,0.5397307521604219,1.7267184646406848
-64.47433,54,14.014626,False,0.36744730152331917,False,3.5950089979288156,1.1806934459803589
-64.40347,54,14.075634,False,0.28101174229882103,False,3.734038998772224,1.8414013804699567
-64.43997,56,14.080632,False,0.3452749418710701,False,3.6253588903894647,1.9527009308061993
-54.955505,52,14.080632,False,0.23117917921183648,False,3.835176344311154,2.2805537815749233
-64.38805,52,14.105141,False,0.30096374852550434,False,3.6970919868528336,1.9592643050314364
-64.802086,60,14.159146,False,0.6228269044396251,False,0.3106811252526374,1.7255898991298637
-64.74231,52,14.166152,False,0.5081628069064534,False,0.41483443581579693,1.3648168114111443
-64.77702,58,14.273674,False,0.5529401643790106,False,0.3698323091917562,1.8583790107587035
-28.343304,54,14.273674,False,0.17868592068965983,False,10.951322834631593,1.5898623984660798
-49.586933,53,14.329199,False,0.22048074208804327,False,3.856844610054219,1.908008526787997
-64.27378,56,14.338198,False,0.24974013596457656,False,3.7959596368043402,1.6978472412447534
46.34652,55,14.338198,True,0.04968359180976752,False,11.310537157253913,1.9550538177083208
9.369224,55,14.367199,False,0.10349975095428965,False,11.14317186462043,2.0050063342050133
-28.369495,52,14.410717,False,0.17865355285702003,False,10.959121709771557,1.227794763343914
-64.75427,54,14.424727,False,0.4902963104306594,False,0.4342385172048086,1.9541676783881168
-32.045605,54,14.539237,False,0.1859320412334932,False,10.93410032103789,2.1358190950343956
44.089024,56,14.55024,True,0.05417812143704184,False,11.297669399102567,1.8910154408105835
-64.47064,51,14.587763,False,0.296389048797007,False,3.7120042858453517,1.5107122905203911
-64.55875,51,14.624767,False,0.4009410942489705,False,0.5423875774623407,1.8851919856701036
-64.73821,57,14.629765,False,0.6044335267432684,False,0.32523811139469755,2.095949621298588
-64.35238,58,14.634768,False,0.2716572777081051,False,3.755400159743001,1.547174029939469
